ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=consultant, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90009496}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",15544089508
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=consultant, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:102277331, radiusInKms=40.2335}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}}}",15544089500
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=LMK lsssslzzzzlzzzz, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:90010045}]}}, facets={timePostedRanges={countOnlyValues=[{com.linkedin.common.TimeSpan={duration=1, unit=DAY}}, {com.linkedin.common.TimeSpan={duration=1, unit=WEEK}}, {com.linkedin.common.TimeSpan={duration=30, unit=DAY}}], selectedValues=[{com.linkedin.common.TimeRange={}}]}}}",15438040460
