Name,Description,Position,Started On,Finished On
JCI St Petersburg,"JCI is the largest worldwide network of entrepreneurs and influencers that spans across 100+ countries and has been helping growth in communities for exactly 100 years by now.    Foundation of the chapter, construction of the network of external contacts, definition of the strategy of the chapter.",Co-founder,2008,2009
AIESEC St Petersburg,"IT project team member AIESEC SPUEF 2005-2006 Faci @OPS SPUEF & E&G 2009, 2010 Faci @OPS AIESEC Mexico 2012, among other roles. ","Member, trainer",2005,
