Title,Description,Issued On
Winner of Business Case Competition “Cup Moscow 2011”,"This business case contest is the largest in Russia and 8th largest in the world (by the number of participants, 1600 in total). The presentation can be found here: http://www.slideshare.net/alexanderkonstantinov/business-case-competition-winning-presentation",Dec 2011
“The Best JCI Chapter in Europe” Award,Received as the co-founder of JCI St Petersburg ,2008
1st place at the College Basketball League of St Petersburg,- as a player and the captain of the St Petersburg State University of Telecommunications basketball team - among 30 college selection teams ,2006
DAAD Scholarship for the Master studies.,,
